field,count,min,p25,median,mean,p75,p90,p99,max
ClosePrice,414182,0.0,575000.0,823000.0,1190836.86,1300000.0,2065000.0,5568950.0,989500000.0
ListPrice,414184,525.0,576000.0,815000.0,1140478.62,1295000.0,1999000.0,5700000.0,137500000.0
OriginalListPrice,413425,0.0,585000.0,825000.0,1225388.94,1299000.0,2068000.0,5995000.0,1390000000.0
LivingArea,413950,0.0,1248.0,1642.0,1903.79,2219.0,2977.0,5282.0,17021321.0
LotSizeAcres,381620,0.0,0.12,0.17,66.29,0.27,1.05,10.83,7810698.36
BedroomsTotal,414173,0.0,3.0,3.0,3.2,4.0,4.0,6.0,45.0
BathroomsTotalInteger,414115,0.0,2.0,2.0,2.53,3.0,4.0,6.0,175.0
DaysOnMarket,414184,-288.0,8.0,18.0,37.36,48.0,94.0,231.0,12430.0
YearBuilt,413812,1776.0,1960.0,1979.0,1978.58,1999.0,2016.0,2025.0,2026.0
