field,count,min,p25,median,mean,p75,p90,p99,max
ClosePrice,713595,1.15,570000.0,801000.0,1058340.239489977,1225000.0,1792443.1999999967,4387529.99999997,989500000.0
ListPrice,713595,525.0,574900.0,799000.0,1027702.8220231923,1199900.0,1759000.0,4460149.999999849,137500000.0
OriginalListPrice,712375,0.0,579000.0,799900.0,1109197.0524136303,1200000.0,1795000.0,4600000.0,1390000000.0
LivingArea,713366,0.0,1228.0,1600.0,1791.465466716945,2116.0,2737.0,4578.0,17021321.0
LotSizeAcres,655037,0.0,0.1197,0.1644,60.684912654552335,0.2571,1.0,10.35,7810698.3564
BedroomsTotal,713584,0.0,3.0,3.0,3.1460248548173726,4.0,4.0,6.0,45.0
BathroomsTotalInteger,713477,0.0,2.0,2.0,2.4447739730923352,3.0,3.0,6.0,175.0
DaysOnMarket,713595,-288.0,7.0,17.0,30.967424099103834,41.0,73.0,190.0,12430.0
YearBuilt,713093,1776.0,1960.0,1979.0,1978.015947429017,1997.0,2015.0,2025.0,2026.0
