field,count,min,p25,median,mean,p75,p90,p99,max
ListPrice,566673,100.0,580000.0,847500.0,1316719.73,1380000.0,2349940.0,8200000.0,400000000.0
OriginalListPrice,565861,0.0,585000.0,849000.0,1399376.42,1395000.0,2380000.0,8500000.0,1390000000.0
LivingArea,566093,0.0,1248.0,1670.0,1980.58,2301.0,3153.0,6305.0,17021321.0
LotSizeAcres,520046,0.0,0.12,0.17,62.97,0.31,1.35,13.5,4187292.0
BedroomsTotal,566519,0.0,2.0,3.0,3.23,4.0,5.0,6.0,94.0
BathroomsTotalInteger,566616,0.0,2.0,2.0,2.63,3.0,4.0,7.0,2208.0
DaysOnMarket,566673,-58.0,5.0,11.0,19.11,22.0,42.0,137.0,731.0
YearBuilt,565691,1776.0,1961.0,1980.0,1979.65,2001.0,2018.0,2025.0,2028.0
